family_id,company,title,postings,countries,open_to_colombia,min_years,english_level,pay_usd_hour_max,pay_usd_year_max,first_published,last_published,url
e5ac6b182210,Scale AI,"Sr Staff ML Forward Deployed Engineer, Enterprise GenAI",1,GB,False,7,,,,2026-07-07,2026-07-07,https://job-boards.greenhouse.io/scaleai/jobs/4712145005
d4c4424e5e79,Scale AI,"Sr. Director, (Applied AI) Forward Deployed Engineering",1,US,False,12,,,,2026-08-10,2026-08-10,https://job-boards.greenhouse.io/scaleai/jobs/4722811005
b56b94724d50,Scale AI,Staff Applied AI Engineer,1,GB,False,7,,,,2026-07-30,2026-07-30,https://job-boards.greenhouse.io/scaleai/jobs/4720050005
1818bf93110a,Scale AI,Staff Frontier Agents Engineer (Forward Deployed Engineering),1,US,False,8,,,,2026-05-15,2026-05-15,https://job-boards.greenhouse.io/scaleai/jobs/4694865005
56ad11a5ce2b,Scale AI,"Staff Full-Stack Software Engineer, (Forward Deployed), GPS",2,GB|SA,False,,,,,2026-03-24,2026-09-10,https://job-boards.greenhouse.io/scaleai/jobs/4732430005
936ba073dec8,Scale AI,"Staff FullStack Software Engineer, (Forward Deployed), GPS",1,QA,False,,,,,2026-03-24,2026-03-24,https://job-boards.greenhouse.io/scaleai/jobs/4673314005
cd49fbd1eb26,Scale AI,"Staff Machine Learning Engineer, Public Sector",1,US,False,8,,,,2026-01-30,2026-01-30,https://job-boards.greenhouse.io/scaleai/jobs/4654382005
f3bd2035d0a9,Scale AI,"Staff Network Engineer, App Platform",1,US,False,5,,,,2026-09-03,2026-09-03,https://job-boards.greenhouse.io/scaleai/jobs/4730337005
eceb8f31545f,Scale AI,Staff Product Designer,1,US,False,10,,,,2026-08-14,2026-08-14,https://job-boards.greenhouse.io/scaleai/jobs/4724276005
614cd584a7ff,Scale AI,"Staff Product Designer, Enterprise",2,GB|US,False,,,,,2026-07-29,2026-09-24,https://job-boards.greenhouse.io/scaleai/jobs/4735360005
5215441a401d,Scale AI,"Staff Product Manager, Agentic Platform",1,US,False,4,,,,2025-10-14,2025-10-14,https://job-boards.greenhouse.io/scaleai/jobs/4612403005
ed617c97f245,Scale AI,"Staff Product Manager, Gen AI",1,US,False,4,,,,2026-03-23,2026-03-23,https://job-boards.greenhouse.io/scaleai/jobs/4675842005
83eb8f0c4f76,Scale AI,"Staff Product Manager, Physical AI Data & Robotics",1,US,False,8,,,,2026-07-27,2026-07-27,https://job-boards.greenhouse.io/scaleai/jobs/4718559005
d6d5c8a57e39,Scale AI,"Staff Software Engineer, Data Platform",1,US,False,8,,,,2026-01-15,2026-01-15,https://job-boards.greenhouse.io/scaleai/jobs/4649903005
8b90d59b9f97,Scale AI,"Staff Software Engineer, Enterprise GenAI",1,US,False,7,,,,2025-05-27,2025-05-27,https://job-boards.greenhouse.io/scaleai/jobs/4569678005
3fac3fb43960,Scale AI,"Staff Software Engineer, Full Stack - Gen AI",1,US,False,7,,,,2026-07-09,2026-07-09,https://job-boards.greenhouse.io/scaleai/jobs/4713608005
4e8ecbe1a0f9,Scale AI,"Staff Software Engineer, Platform",1,GB,False,8,,,,2026-06-08,2026-06-08,https://job-boards.greenhouse.io/scaleai/jobs/4703527005
d935dfc0e347,Scale AI,"Staff Software Engineer, Public Sector",1,US,False,,,,,2026-03-31,2026-03-31,https://job-boards.greenhouse.io/scaleai/jobs/4674913005
2ca85a865cc3,Scale AI,"Staff Software Engineer, RL Environments",1,US,False,8,,,,2026-09-02,2026-09-02,https://job-boards.greenhouse.io/scaleai/jobs/4729820005
6017006a3b09,Scale AI,"Staff Solutions Engineer, Enterprise",1,US,False,,,,,2026-04-28,2026-04-28,https://job-boards.greenhouse.io/scaleai/jobs/4689909005
bff2ba7f4adb,Scale AI,Staff Technical Product Manager,1,GB,False,8,,,,2026-04-10,2026-04-10,https://job-boards.greenhouse.io/scaleai/jobs/4683446005
4821d6e787fe,Scale AI,"Staff/Senior Machine Learning Research Engineer, Intelligent Systems",1,US,False,5,,,,2026-07-14,2026-07-14,https://job-boards.greenhouse.io/scaleai/jobs/4714527005
f2ae995a63db,Scale AI,"Strategic Finance Manager, Corporate",1,US,False,4,,,,2026-08-14,2026-08-14,https://job-boards.greenhouse.io/scaleai/jobs/4722944005
